name,context,question,answer
Frost_,"Frost was Caitlin Snow's evil alternate personality. After redeeming herself, she acted as a hero and a member of the Team Flash, possessing Caitlin whenever her powers were needed and, eventually, living her own life. After being hit by Mirror Monarch, she was separated from Caitlin, but was later killed by Deathstorm.",Who would Frost possess when her powers were needed ?,Caitlin Snow
Ganthet_,"Ganthet is one of the Guardians of the Universe. However, while most of the Guardians are very unemotional and distanced, Ganthet has a personality that is more human-like, including displays of empathy and concern for an individual, instead of only thinking of the Green Lantern Corps. Ganthet is part of the Quintessence, a group of near-omnipotent beings who oversee the results of what happens on Earth.",Is Ganthet unemotional and distanced like most guardians ?,"No, while most of the Guardians are very unemotional and distanced, Ganthet has a personality that is more human-like, including displays of empathy and concern for individual"
Garth_Ranzz_,"When Garth, Ayla and Mekt crash-landed their spaceship on the planet Korbal, Ayla suggested that they could use the local lightning beasts to recharge the batteries of the ship. They were unsuccessful, and they were attacked by the beasts. The beasts caused the siblings to gain electrical powers. Garth was later at the founding of the Legion of Super-Heroes.","Were Garth, Ayla and Mekt able to use the local lighting beasts to recharge the batteries of their ship ?","No, they were attacked by the beasts which caused the siblings to gain electrical powers"
Garth_Ranzz_,"This version of Garth Ranzz is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Garth Ranzz introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",Are the Batch SW6 Legionnaires time-paradox duplicates ?,"Yes, they are time-paradox duplicates of the Legion engineered by the Time Trapper"
Gim_Allon_,"This version of Gim Allon is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Gim Allon introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",Who replaced the Batch SW6 Legionnaires and the original Legion ?,The legionnaires were replaced by the Reboot Legion during the events of Zero Hour
Gus_,"Gus (acronym for Genetic Unit Series 1) is the first Hybrid kid created by Dr. Gertrude Miller before the H5G9 virus pandemic. A year after his ""father's"" death, Gus decided to find his ""mother"" with the help of the former Last Man Thomas Jepperd, which nicknamed Gus as ""Sweet Tooth"" due to his obsession with candies.",What is Gus’ nickname ?,Thomas Jepperd nicknamed Gus as « Sweet Tooth »
Hal_Jordan_,"Hal Jordan is the most well-known Green Lantern. He was the first human ever inducted into the Green Lantern Corps, and has been heralded as possibly the greatest Green Lantern of all time. Hal is also a founding member of the Justice League of America. He has also been known as Parallax and The Spectre.",What are some of the other identities Hal Jordan has assumed besides being a Green Lantern?,"Besides his primary role as a Green Lantern, Hal Jordan has also taken on significant but darker roles such as Parallax and The Spectre, showcasing the complexity and the range of his character's evolution through various narratives."
Harley_Quinn_,"Harley Quinn is the jester of the Castle of El. She is also an advisor to Queen Lara and tries to act as the voice of peace and restraint at court. Harley is in a romantic relationship with Ivy, a witch who lives in Hobb Forest near the Castle of El.",Who is Harley Quinn’s partner?,Harley is in a romantic relationship with Poison Ivy
Harrison_Wells_,"Harrison ""H.R."" Wells was the Wells of Earth-19. Initially contacted to serve as a replacement Wells for Team Flash at S.T.A.R. Labs, along with several other Wells across the multiverse, H.R. eventually was exposed for being a fraud of a scientist, and everything fell apart for him on his Earth. Regardless, H.R. would assist in Team Flash's fight against the evil speedster, Savitar.",From what Earth is Harrison H.R from ?,From Earth-19
Harrison_Wells_,"Harrison ""Harry"" Wells was the Wells of Earth-2. A celebrated scientist and founder of S.T.A.R. Labs, Wells traveled to Earth-1, seeking Barry Allen's help to save his daughter Jesse, who was kidnapped by the meta-human speedster Zoom. Harry continued working with Team Flash as its main scientific mind to defeat Zoom, Savitar, and Clifford DeVoe.",Whose supervillains did Harrison Wells have in mind when he joined team Flash ?,"Zoom, Savitar and Clifford DeVoe"
Hartley_Rathaway_,"Hartley Rathaway is an expert in psychoacoustics and sonic vibrations who used to work for S.T.A.R. Labs. He was fired by ""Harrison Wells"" for trying to stop him from activating the Particle Accelerator, and came back as the Pied Piper seeking revenge, wanting to kill The Flash for believing that Wells replaced him with the new pupil.",Why does Harley want to kill the Flash ?,"Hartley was fired by ""Harrison Wells"" for trying to stop him from activating the Particle Accelerator, and came back as the Pied Piper seeking revenge, wanting to kill The Flash for believing that Wells replaced him with the new pupil."
Harvey_Bullock_,"Harvey Bullock was a detective in the Gotham City Police Department. Despite their different methods, he is a good friend and ally of Jim Gordon, and filled his place as Commissioner when he went missing.[1] He wound up resigning from the force due to a difference in priorities with the Gotham City mayor during the events of The Joker War.[2]",Are Harvey Bullock and Jim Gordon similar ?,"They both have different methods when it comes to fighting crimes. However, they are strong allies and Bullock even filled in his place as Commissioner when Gordon went missing"
Heino_Okata_,"Most Excellent Super Bat (Heino Okata) is the leader of the Super Young Team. He wears a wildly stylized red and yellow uniform influenced by both Superman and Batman. According to him, his power is ""being rich"".[1] He uses an array of gadgets and has some training in the martial arts.",What are Super Bat abilities ?,Heino Okata uses an array of gadgets and has some training in martial arts. He sometimes jokes that his power is being « rich »
Helena_Bertinelli_,"The Huntress is a vigilante operating out of Gotham City, and a member of the Batman Family. She is also a devout Catholic, and is very in touch with her Italian heritage. Her career is inspired by a personal vendetta against organized crime, responsible for killing her entire family. At first, her ruthless methods and willingness to kill made her an outcast from the heroic community, but in time she learned to temper her methods and became accepted by her peers. She has also been a member of the Justice League and the Birds of Prey.",Why was Huntress originally an outcast ?,"Huntress was inspired by a personal vendetta against organized crime, responsible for killing her family. She was originally an outcast from the superhero community because she used ruthless methods and was willing to kill criminals. "
Helena_Kosmatos_,"The Erinyes (Alecto, Tisiphone and Megaera) granted 15-year-old Helena Kosmatos a portion of their power so that she could seek revenge on the Nazis who had killed many of those she loved in her Greek village. Escaping to the United States at 16, she used her powers as a member of the Young All-Stars. However, the Erinyes had not told her of the price of her power—when she became angered, she would be taken over by one of the monstrous Furies.",When did Helena Kosmatos get her power ?,When she was 15 years old
Helena_Wayne_,"Helena Wayne is the daughter of Batman and Catwoman from an averted future where her father was murdered as a result of the schemes of the time-traveling Per Degaton. She then joined the Infinity, Inc. and the Justice Society of America as the heroine known as the Huntress. As a temporal remnant of a future that is no longer possible, she exists as a living paradox on Earth 0.",Who are Helena Wayne’s parents ?,Batman and Catwoman
Henry_Cosgei_,"Henry Cosgei is a former renown professional athlete hailing from Kenya and considered one of the greatest runners in his generation. Selected to be an operative of T.H.U.N.D.E.R, he was framed for a false positive drug test, potentially ending his career. With promises of restoring his former status, Henry became T.H.U.N.D.E.R's speedster, Lightning.",Why did Henry Cosgei’s athletic career almost end ?,His athletic career almost ended because he was framed for a positive drugtest. 
Henry_Hall_,"Hank Hall was the first Hawk. In contrast to his brother Dove who represents order and peace, he represents chaos and war. During Armageddon 2001, he became the supervillain Monarch and during Zero Hour he became known as Extant, one of the most powerful beings in the universe wielding the combined energies of both Hawk and Dove.",Is Hank Hall an only child ?,"No, his brother is Dove."
Henry_Hall_,"Hank Hall is Hawk, an avatar of War who gets his power from the Lords of Chaos. He and the avatar of Peace Dove protect Washington, D.C. as the crime fighting duo Hawk and Dove. Hawk and Dove have been members of the Teen Titans as well as its successor team the Titans.",Were Hawk and Dove part of the Teen Titans ?,"Yes, they were part of the the Teen Titans as well as its successor team the Titans."
Hollis_Mason_,"Hollis Mason was the first Nite Owl, a member of the Minutemen in the 1940s. Once a police officer inspired by the thought of excitement and adventure being a vigilante brought, Mason eventually retired to be a car repairman, and wrote a tell-all book about his former team titled Under the Hood. Soon after, he trained a successor Nite Owl in Dan Dreiberg.",What was Hollis Mason’s book about ?,Hollis Mason’s book : Under the Hood was about his time as a vigilante and his former team the Minutmen.
I.Z.O.R._,"I.Z.O.R. aka Gear is a member of the Legion of Superheroes. Gear is a member of the Lisnarian who hale from the planet Lisnar, they are known galaxywide for their ability to generate gadgets from their techno-organic bodies. The species are hired as living tools, as was the case for Gear.",Where are the Lisnarian from ?,Lisnar
Imra_Ardeen_,"This version of Imra Ardeen is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Imra Ardeen introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",What team is Imra Ardeen part of ?,The Batch SW6 Legionnaires
Indigo-1_,"Indigo-1 was the leader of the Indigo Tribe; the group that wields the indigo light of compassion. Unlike the other Corps, the Tribes does not have a traditional uniform. Instead she has tattooed the symbol of her Tribe all over her body, as do members of the Tribe. Indigo-1 and her tribe speak the Nokian language that is unknown even to the Green Lantern Ring, which is supposed to be a universal translator for every language. In addition to a power ring, Indigo-1 and her Tribe wield a coral-like staff that acts as their power battery and energy conduit.",What makes the Indigo Corp different from the other corps ?,"The Indigo Tribe wields the indigo light of compassion. Unlike the other corps, they do not have a uniform and have the symbol of their tribe tattooed all over their bodies."
Jack_T._Chance_,"Jack T. Chance is a member of the Green Lantern Corps assigned to Sector 17, one of the worst, most troubled criminal sectors in the universe. Born of the hellhole Garnet, Chance's ruthless tactics earn him many reprimands from the Guardians of the Universe... but it's agreed that only a man as bad as he is could tame a sector as tough as the one he's been given. While other Green Lanterns wear a full uniform, Chance wears a trench coat, and simply sticks a pin with the Corps logo on his lapel. In addition to his power ring, he also carries a gun.",Are the Guardians satisfied with Jack T. Chance’s tactics ?,Chance's ruthless tactics earn him many reprimands from the Guardians of the Universe... but it's agreed that only a man as bad as he is could tame a sector as tough as the one he's been given.
Jackson_Hyde_,"Jackson Hyde is the third Aquaman. He is the partner and former protege of Arthur Curry, the second Aquaman. Prior to becoming Aquaman, he was the second hero to use the name Aqualad and a member of the Teen Titans for a short time. He is the son of Black Manta and the Xebelian rebel Lucia. Jackson is openly gay.",Is Jackson Hyde bisexual ?,"No, Jackson Hyde is gay"
James_Gordon_,"Commissioner James ""Jim"" Gordon was a detective in the Gotham City Police Department. After fighting numerous freaks and madmen, occasionally working alongside criminals like the Riddler and his nemesis, the Penguin to combat greater threats such as the Valeska twins and the Court of Owls, and leading Gotham City as best he could through crisis after crisis, he eventually became the police commissioner.",Who did Jim Gordon face as a detective in Gotham City ?,"Jim Gordon faced multiple supervillains including the Riddler, the Penguin, the Valeska twins and the Court of Owls."
James_Gordon_,"James Worthington ""Jim"" Gordon was the commissioner of the Gotham City Police Department, before being replaced by Harvey Bullock for a brief period, and is an ally to Batman. He is the father of Barbara Gordon and James Gordon Jr., and he is the ex-husband of Barbara Eileen.  He eventually retired, taking a role as a private investigator.",Is Barbara Gordon Jim Gordon’s wife ?,The name Barbara Gordon could describe two women associated with Jim Gordon. Barbara Gordon is Jim’s only daughter and Barbara Eileen Gordon is Jim’s wife.
Jan_Arrah_,"This version of Jan Arrah is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Jan Arrah introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",When was introduced the adult version of Jan Arrah ?,In the « Five Years Later » era.
Janet_Fals_,"Janet Fals died during the Dark Multiverse invasion, but her father used his CIA connections to bring her back to life, releasing her remains to Civil Solutions, a futurist arms developer, who resurrected her with a new heart called the ""Conflict Engine"". The device requires her to start fights to stay alive, meaning she could not return to her old life or identity. She quenches her needs by fighting in underground matches as Firebrand.",How did Janet Fals come back to life ?,"Her father used his CIA connections to bring her back to life, releasing her remains to Civil Solutions, a futurist arms developer, who resurrected her with a new heart called the ""Conflict Engine"". "
Jason_Garrick_,"Jay Garrick is a superhero speedster known as The Flash, and he is a member of the Flash Family. When his fellow speedster Wally West was possessed by a mysterious entity, he had his powers removed like the rest of the Flash Family. Jay worked with the Family to use their Rogue's gadgets against their former friend.",What are Jay Garricks’s powers ?,Jay Garrick is a speedster. He has superspeed.
Jason_Garrick_,"Jason ""Jay"" Garrick is the first speedster to be called The Flash, and a founding member of the Justice Society of America. As a result of Doctor Manhattan's alterations to the timeline, Jay became trapped in the Speed Force and forgotten to all,[1] though eventually the alterations were undone and Jay was restored alongside the rest of the world's proper history.[2]",Who is the first Flash ?,Jason « Jay » Garricks was the first speedster to be called The Flash.
Jason_Todd_,"Jason Todd is a vigilante anti-hero with multiple names. Originally he was the second Robin, Batman's sidekick after Dick Grayson grew too old. During A Death in the Family he was murdered by the Joker, although he would be resurrected many years later during Under the Hood and become the anti-hero Red Hood. His successor as Robin was Tim Drake. His violent attitude towards criminals has made him a controversial figure, crossing moral lines to pursue his ends even as a teenager, and repeatedly demonstrating his willingness to kill as an adult. His death motivated Batman for many years and his costume was held on display in the Batcave, although since his return they have mainly been opponents. He has been a member of the Batman Family, the Teen Titans, the Challengers from Beyond, and the Outlaws. ",Why is Jason a controversial figure ?,"His violent attitude towards criminals has made him a controversial figure, crossing moral lines to pursue his ends even as a teenager, and repeatedly demonstrating his willingness to kill as an adult."
Jay_Nakamura_,"Jay Nakamura is the boyfriend of Jon Kent and a Gamorran refugee living in the United States. He has a keen interest in journalism and activism, and anonymously runs an underground journalism site called The Truth[1] for an eponymous activist group he leads under the code name Gossamer.[2] Due to experimentation against his will by Henry Bendix, Jay is also a ""post-human"" with artificially created metahuman abilities.[3]",Who is Jay Nakamura to Jon Kent ?,Jay Nakamura is Jon Kent’s boyfriend.
Jean-Paul_Valley_,"Named after the Angel of Death, most of his extraordinary abilities come from severe amounts of subconscious training and conditioning he was put through during his youth, unaware that he was being controlled by a 500-year old devout religious sect called the Order of St. Dumas that his ancestors had belonged to for generations.",Who controlled Azrael ?,"During his youth, Azrael  was being controlled by a 500-year old devout religious sect called the Order of St. Dumas that his ancestors had belonged to for generations."
Jeremy_Horton_,"Jeremy Horton is a powerful telekinetic and telepath who went by the name Hard Drive. The main limitation of his telepathy is that he can't compel anyone to do something they didn't already want to do. He used his telepathy to become rich by securing business deals, and also to put together his team, the Young Heroes.",What are the limits of Jeremy Horton’s telepathic powers ?,The main limitation of his telepathy is that he can't compel anyone to do something they didn't already want to do.
Jesse_Wells_,"Jesse Chambers Wells, better known as Jesse Quick, was the daughter of Harrison Wells of Earth-2, and the speedster hero of Central City. Initially a human college student abducted by the metahuman speedster Zoom, Jesse gradually managed to unlock her Speed Force connection after being hit by a dark matter wave from the S.T.A.R. Labs particle accelerator, later becoming a speedster herself and her Earth's superhero. Jesse briefly dated Wally West and helped Team Flash in their fight with Zoom and Savitar.",How did Jesse unlock her Speed Force connection ?,Jesse was able to unlock her Speed Force  connection after being hit by a dark matter wave from the S.T.A.R Labs particle accelerator.
Jo_Nah_,"This version of Jo Nah is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Jo Nah introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",Who is Jo Nah ?,Jo Nah is one of the Batch SW6 Legionnaires.
Jonah_Hex_,"Jonah Hex was a legendary bounty hunter on the American western frontier in the 19th Century. His reputation as the deadliest man alive followed him everywhere, and he killed hundreds of men up until his death. Hex was a gruff anti-hero with a deep personal code of honor that kept him on the side of good despite his violent tendencies.",How many people did Jonah Hex kill ?,Hundreds of men.
Jonathan_Osterman_,"Doctor Manhattan (real name Jon Osterman) was a loving but distant godlike being who protected the United States from threats for years. Transformed by a particle test, he acted as a superhero, a scientist, and even created a new species, but eventually grew bored of being a god and hid among humanity with his wife, Angela Abar.",Did Doctor Manhattan retire ?,"Doctor Manhattan grew bored of being a god and hid among humanity with his wife, Angela Abar."
Jonathan_Samuel_Kent_,"Upon returning home, Jon became the new Superman in the place of his father, who had departed the planet indefinitely on a mission to Warworld. As the first Earth-born Superman, Jon sought to use the role to help in new ways for ""truth, justice, and a better world."" Eventually, Jon began dating the post-human reporter Jay Nakamura.",Why did Jon become the new Superman ?,Because his father departed the planet indefinitely on a mission to Warworld.
Joseph_Wilson_,"Joseph W. ""Joey"" Wilson is the second son of Adeline Kane and  Slade Wilson, from whom he inherited his metahuman gene. He has been mute since childhood, when one of his father's enemies cut his throat.[4] Joey eventually became the vigilante hero known as Jericho, and in the business world, he is the Executive Vice President of Core Policy Group.[1] He has been a member of the Teen Titans, the Justice League Reserves and the Defiance.",Is Jericho deaf ?,Jericho is not deaf. Jericho is mute since one of his father’s enemies cut his throat as a child.
Juggler_,"Juggler was one of several convicts held prisoner in a United States army stockade in the early years of World War II. Lt. Benjamin Hunter selected Juggler to become part of a Special Forces unit code-named Hunter's Hellcats. Although lacking in moral fiber, the acrobatic Juggler faithfully served under Lt. Hunter throughout the remainder of the war.",When was Juggler held prisoner ?,During the earlier years of World War II.
Kal-El_,"Superman (born Kal-El, real name Clark Kent) is a compassionate, gentle, and altruistic Kryptonian superhero and a Daily Planet reporter in his civilian identity. After being overdosed with radiation, he came to contemplate his life and values in an attempt to make his final adventures as meaningful as possible, performing twelve impossible feats and inspiring the Superman Squad in the future.",What is Superman civilian identity ?,"Superman is known as Clark Kent, a Daily Planet reporter."
Kal-El_,"The Superman of the 853rd Century survived by becoming the living extension of the Sun. He left the Earth somewhere in the late 21st Century when everyone he cared about died. He traversed the entire DCU, going beyond time and space, and has been said to have reached as far as Heaven and Hell themselves.",Why did this Superman leave his Earth ?,The Superman of the 853rd Century left the Earth when everyone he cared about died.
Kal-El_,"Superman is one of the surviving members of the Justice League of America. Though he fought nobly, he soon fell victim to the Anti-Life Equation and became one of the Anti-Living. After about 5 years of being Anti-Living, he is finally able to be cured and returned to normal thanks to the efforts of his son and the remaining heroes.",How long did Superman remain Anti-Living ?,5 years
Kal-El_,"Superman is the most powerful being on Earth, an alien immigrant named Kal-El from the planet Krypton who was raised in Smallville, Kansas, to become an American superhero. Raised with high moral ideals, he uses his incredible strength, speed, flight and various other superpowers to fight evil and to protect the innocent. In his civilian identity he is Clark Kent, a mild-mannered reporter working for the Daily Planet in Metropolis. He is a founding member of the Justice League of America.",Does Superman have powers ?,"Yes, Superman has super strenght, speed, flight and various other superpowers."
Kal-El_,"Superman (real name Clark Kent, born Kal-El) is a noble, kind, and gentle Kryptonian superhero who uses his great power to protect the city of Metropolis, and Earth as a whole, from threats such as Lex Luthor, General Zod and the Nuclear Man. In his civilian identity, he acts as a mild-mannered reporter for the Daily Planet, where he works alongside spunky reporter Lois Lane.",Is Superman mean ?,"No, Superman is noble kind and gentle."
Kal-El_,"Superman is Earth's first and premiere superhero, and its stalwart protector. Born Kal-El on the distant planet Krypton, he was sent to Earth as a child to survive Krypton's destruction, where he gained fantastic powers under its yellow sun. Raised to believe his abilities would one day put him in a position to help others, he uses his extraordinary superpowers to fight evil and protect the innocent. In his civilian identity he is Clark Kent, a mild-mannered reporter working for the Daily Planet in Metropolis.",Why was Superman sent to Earth ?,Superman was sent to Earth to survive the destruction of his birth planet Krypton.
Kal-El_,"Kal-El survived the destruction of his homeplanet of Krypton by being rocketed to Earth. He was found and adopted by Martha and Jonathan Kent, who gave him the name Clark Kent. Due to his alien physiology, Clark developed superpowers. He used his abilities as the superhero Superman and as a member of the Super Friends.[1]",Who adopted Kal-El when he was sent to Earth ?,Kal-El was adopted by Martha and Jonathan Kent.
Kal-El_,"Superman is Earth's premier superhero and the stalwart protector of Metropolis. Born Kal-El on the distant planet Krypton, he was sent to Earth as a child to survive Krypton's destruction. Raised with high moral ideals, he uses his extraordinary superpowers to fight evil and protect the innocent. In his civilian identity he is Clark Kent, a mild-mannered reporter working for the Daily Planet in Metropolis.",What city does Superman protect ?,Superman is the protector of Metropolis
Kal-El_,"Superman, born Kal-El and legally named Clark Joseph Kent, is the last son of Krypton, sent as the dying planet's last hope to Earth, where he grew to become its protector. He is now the main attraction of Mongul's arena, where without his powers he must fight to keep on living.",What is Superman’s legal name ?,Clark Joseph Kent
Kal-El_,"Superman is the most powerful being on Earth,[2][3][4][5][6] an alien refugee named Kal-El from the planet Krypton who was raised in Smallville, Kansas, to become an American superhero. Raised with high moral ideals, he uses his incredible strength, speed, flight and various other superpowers to fight evil and to protect the innocent. In his civilian identity he is Clark Kent, a mild-mannered reporter working for the Daily Planet in Metropolis. He is a founding member of the Justice League of America and a member of the Legion of Super-Heroes in the 30th Century.",What superhero teams is Superman part of ? ,Superman is a founding member of the Justice League of America and a member of the Legion of Super-Heroes in the 30th Century.
Kal-El_,This incarnation of Superboy was born into a singularly created universe who was developed by the Time Trapper as part of his scheme to control the Legion of Super-Heroes after the Earth-One Superboy was wiped from existence due to the effects of the Crisis on Infinite Earths and replaced with the current Superman who was never costumed Superboy.,What happened to the Earth-One Superboy ?,He was wiped form existence due to the effects of Crisis on Infinite Earths.
Kal-L_,"Kal-L is the last Kryptonian, and the hero known as Superman. Unlike his Earth-1 counterpart, this version is a more adult one whose adoptive parents (Jonathan and Martha Kent) died in an accident; so he was raised an orphan. In World War II, he was an ally of the Justice Society of America, infusing himself under the code name ""Shakespeare"".",Are Kal-L’s parents still alive ?,Kal-L’s parents died in an accident.
Kaldur'ahm_,"Kaldur'ahm is the second Aquaman and the former Aqualad. He is the former protege and successor of Orin, the King of Atlantis and the previous Aquaman. He is the son of the villain Black Manta and an Atlantean woman called Sha'lain'a. He was raised by her and his step-father Cal Durham, who he believed was his biological father.",Who is Kaldur’ahm biological father ?,Kaldur’ahm was raised by Cal Durham who he believed was his biological father. His biological father is actually the villain Black Manta.
Kara_Zor-El_,"Kara Zor-El is Supergirl, a member of the Justice League of the Li'l Leaguers universe, a timeline happier and less dark than the main universe. Kara is a sweet, polite and innocent child who is fond of streawberries and can not stand when her friends fight each other. Luckily their arguments use to be short-lived because her teammates are deadly frightened of her devastating sonic cries.",What does Kara Zor-El despise ?,Kara can not stand when her friends fight each other.
Kara_Zor-El_,"Kara-Zor-El is the heroine known as Supergirl. Born on Krypton to Superman's uncle and aunt, Kara was rocketed to Earth by her father to save her life. She was adopted by the Danvers family and became the protector of National City. In her secret identity she is Kara Danvers, a run-of-the-mill high-schooler. Possessing vast powers given by her Kryptonian physiology, Supergirl is one of the most powerful heroes in the world, and has been a member of the Justice League and the Red Lantern Corps.",Was Kara-Zor-El a member of the Green Lantern Corps ?,"No, she was a member of the Red Lantern Corps."
Kara_Zor-L_,"Power Girl is the Earth-Two counterpart of Supergirl and first cousin to Kal-L, the Superman of Earth-Two. Power Girl took her cousin's place in the Justice Society of America after he entered into semi-retirement to focus on his personal life. Her survival of Crisis on Infinite Earths and adapting to a new world caused her some confusion as to her roots. She believed for a time she was descended from Arion, Lord of Atlantis, but following the Infinite Crisis she learned her original legacy still held true.",Who did Power Girl replace in the Justice Society of America ?,Power Girl took Kal-L’s place in the Justice Society of America after he entered into semi-retirement to focus on his personal life.
Kara_Zor-L_,"Power Girl was the Supergirl of Earth-Two and the cousin to its Superman, where she had a daughter-like relationship with him and his wife Lois Lane. A survivor of the original Crisis on Infinite Earths, Kara settled on the surviving Earth following the original collapse of the multiverse and became a member of the Justice Society of America. In her civilian identity on Earth, she is known under the names Karen Starr and Paige Stetler.[1]",Why did Power Girl end up on the surviving Earth ?,Power Girl survived the original Crisis on Infinite Earths and settled on the surviving Earth following the original collapse of the multiverse.
Kay_Challis_,"Crazy Jane is an aggressive, closed-off member of the Doom Patrol, and the primary persona of Kay Challis, a woman with sixty-four unique personalities each granted a unique metahuman ability by Niles Caulder. After managing to put the puzzle together and come to terms with herself, Kay merged with all the personalities into a single being called Kaleidoscope.[2]",How many personalities does Kay Challis have ?,"Kay Challis has sixty-four personalities, her primary persona is Crazy Jane."
Kay_Challis_,"Crazy Jane is the dominant alternate personality of Kay Challis, who has dissociative identity disorder, with a total of 64 unique identities. As a result of exposure to the alien Dominators' ""gene bomb,"" each of her 64 alternate personalities has a different super-power. While Jane initially believed that she was the only one without a metahuman ability, this was later proven false. She eventually discovered that she had the ability to heal others (whether this healing is primarily emotional or physical is unknown).",What are Kay Challis abilities ?,Each of Kay Challis’ personalities has a different super-power.
Kent_Nelson_,"Dr. Kent Nelson is Doctor Fate, a powerful sorcerer and agent for the Lords of Order who fights evil alongside his wife Inza. His amulet, cloak and helmet are creations of the ancient Nabu who acts as his mentor and spiritual guide. He is a founding member of the Justice Society of America.",Who is Nabu to Doctor Fate ?,Nabu is Doctor Fate’s mentor and spiritual guide.
Khalid_Ben-Hassin_,"Khalid Ben-Hassin was the vessel for Nabu, a Egyptian mage whose powers flowed through the Helmet of Fate. As Doctor Fate, he is a member of the Wonders of the World and was a powerful sorcerer. After the destruction of the helm, he later worked as an ambassador for the World Army.",What was Khalid Ben-Hassin occupaion after the destruction of the helm ?,Ambassador for the World.
Kirk_Langstrom_,"Dr. Kirk Langstrom is the inventor of the infamous Man-Bat Serum, a special formula that has the ability to turn the user into a hideous bat monster, the Man-Bat. Though he originally created it to help the deaf and blind, because of its temporary side effects, multiple people have taken advantage of it, including Langstrom himself, often in the name of vigilantism. However, because the user becomes almost feral with its use, Langstrom has acted as both an ally and enemy to Batman.",Why can’t Dr. Kirk Langstrom be considered as an ally to Batman ?,"Langstrom’s Man-Bat Serum led its user to become almost feral, he therefore acted both as an ally and an enemy to Batman."
Kon-El_,"Superboy, also known as Kon-El and Conner Kent, is a genetic clone of Superman and Lex Luthor. Superboy was trapped on Gemworld during the Flashpoint, resulting in a second iteration, a genetic clone of Jon Lane Kent coming to existence during his absence. Eventually, however, the original was rescued from Gemworld by his friends. The two versions of Superboy were later merged into one being. He has been a member of Young Justice and Teen Titans and eventually became the boyfriend of Miss Martian.",Whose genes were used to create Superboy ?,Superboy is a genetic clone of Superman and Lex Luthor.
Kong_Kenan_,"Kong Kenan is the Super-Man of China. Initially a self-centered bully who cared only for himself, Kenan was changed after standing up to Blue Condor and receiving the powers of Superman, whom he greatly respects. Kenan is brash, headstrong and frequently rushes into situations without thinking, although he has the best of intentions.",What made Kong Kenan less of a bully ?,Kong Kenan changed after standing up to Blue Condor and receiving the powers of Superman.
Koriand'r_,"Koriand'r is an alien princess from the planet Tamaran who lived in peace and happiness until her home planet was conquered. Banished from Tamaran, Koriand'r was enslaved and experimented on, granting her extraordinary powers which she used to lead a rebellion and liberate herself and her fellow slaves from their captors. She became known throughout the cosmos as Starfire, and settled on Earth, where she became a member of the superhero teams the Outlaws and the Teen Titans.",Was happened to Koriand’r when her planet was conquered ?,Koriand’r was enslaved and experimented on.
Koriand'r_,"Koriand'r, known on Earth as Kory Anders, is a princess warrior from Tamaran who was sent to Earth to stop the demon Trigon from destroy the worlds. Her mission was hampered by memory loss, but she got it back after she joined the Titans, and after Trigon was defeated, she decided to stay on Earth acting as the superheroine Starfire.",What identity did Koriand’r adopt after joining the Titans ?,Koriand’r adopted the name of « Starfire ».
Krypto_,"This incarnation of Krypto was born into Pocket Universe, a singularly created universe which was developed by the Time Trapper. That universe was part of Trapper's scheme to control the Legion of Super-Heroes after the Earth-One Superboy was wiped from existence due to the effects of the Crisis on Infinite Earths and replaced with the current Superman who was never costumed Superboy. Krypto was Superboy's kryptonian dog.",Where was Krypto born ?,Into the Pocket Universe.
Kyle_Rayner_,"Kyle Rayner is a high-ranking member of the Green Lantern Corps from Earth. After the rest of the Corps was destroyed, he alone was selected to bear the last power ring and carry on the title. Although he acted alone for many years, when the Corps was reformed, his skill level gave him a position as an Honor Guard, only behind Salakk and the Guardians in the chain of command of the Corps. He has also been a host for the Ion entity, and a member of the Justice League.",When was Kyle Rayner selected as a Green Lantern Corps member ?,"After the rest of the Corps was destroyed, Kyle Rayner alone was selected to bear the last power ring and carry on the title."
